order_id,date,region,category,sales,quantity,customer_rating
ORD-1001,2024-01-05,North,Electronics,1250.00,2,4.8
ORD-1002,2024-01-07,South,Clothing,85.50,3,4.2
ORD-1003,2024-01-10,East,Furniture,450.00,1,3.9
ORD-1004,2024-01-12,West,Electronics,890.00,1,4.5
ORD-1005,2024-01-15,North,Clothing,120.00,4,4.0
ORD-1006,2024-01-18,South,Electronics,2100.00,3,4.9
ORD-1007,2024-01-20,East,Clothing,65.00,2,3.5
ORD-1008,2024-01-22,West,Furniture,620.00,2,4.1
ORD-1009,2024-01-25,North,Furniture,310.00,1,4.3
ORD-1010,2024-01-28,South,Clothing,150.00,5,4.7
ORD-1011,2024-02-02,East,Electronics,1450.00,2,4.6
ORD-1012,2024-02-05,West,Clothing,95.00,2,4.0
ORD-1013,2024-02-08,North,Electronics,780.00,1,4.4
ORD-1014,2024-02-12,South,Furniture,890.00,3,4.2
ORD-1015,2024-02-15,East,Clothing,110.00,3,3.8
ORD-1016,2024-02-18,West,Electronics,1950.00,2,4.9
ORD-1017,2024-02-22,North,Clothing,210.00,4,4.1
ORD-1018,2024-02-25,South,Electronics,1150.00,1,4.5
ORD-1019,2024-02-27,East,Furniture,540.00,2,4.0
ORD-1020,2024-02-28,West,Clothing,175.00,3,4.3
